id,year,region,female,immigrant,education,age,income,instrument,endogenous,treat,post,outcome,wage,employed,life_satisfaction,count_events,ordinal_satisfaction,likert_1,likert_2,likert_3
0,2018,central,0,1,10,34,38035.16360721146,0.39007708443593886,4.822716077247295,1,0,5.985279011164373,5866.559767212103,1,7.5858132174734685,0,4,2,3.0,3
0,2019,central,0,1,10,35,43434.31727673901,0.39007708443593886,2.845261138855815,1,0,4.069825380136669,7903.565172838711,1,8.496976582461093,3,5,3,4.0,2
0,2020,central,0,1,10,36,36339.64461300902,0.39007708443593886,1.737400243293702,1,0,7.697409784251171,5152.240424298886,1,5.796611182667819,2,3,2,4.0,3
0,2021,central,0,1,10,37,43847.68513243935,0.39007708443593886,3.2767353625300606,1,0,6.7815575360934615,5650.1334046257625,0,6.664114816904158,4,4,3,5.0,2
0,2022,central,0,1,10,38,52029.901627862055,0.39007708443593886,5.116838859579942,1,1,7.7952139331228985,7535.874908061158,1,7.466499949605467,3,4,3,4.0,4
0,2023,central,0,1,10,39,43316.59773790196,0.39007708443593886,5.234439127309766,1,1,8.06699155592473,5560.4208449768585,0,7.602815295381292,3,4,2,3.0,3
0,2024,central,0,1,10,40,44999.021785035024,0.39007708443593886,3.114706088064973,1,1,9.533818021569965,6173.127076735373,1,6.716897416974029,2,4,3,4.0,3
0,2025,central,0,1,10,41,42471.58146417206,0.39007708443593886,1.719322534531496,1,1,9.546517137630083,4058.216190674147,0,6.502700360524193,3,4,3,3.0,2
1,2018,central,0,0,18,28,58638.841315089216,-0.2375378591281849,4.486614683438262,1,0,2.332151070286439,7195.888729738693,1,9.434916850964646,1,5,4,3.0,5
1,2019,central,0,0,18,29,48497.9532884549,-0.2375378591281849,4.725829278187436,1,0,6.831878230293911,8294.261632044256,1,6.932079753683146,3,4,3,5.0,3
1,2020,central,0,0,18,30,45480.41026038516,-0.2375378591281849,2.8658594478227415,1,0,4.351785462150719,4962.894350296894,1,10.0,2,5,3,3.0,3
1,2021,central,0,0,18,31,47684.60072401224,-0.2375378591281849,5.336980122220414,1,0,1.0730122031604585,7339.200781285685,1,8.925966887018564,1,5,2,3.0,4
1,2022,central,0,0,18,32,51263.132273186806,-0.2375378591281849,4.825119477910624,1,1,5.194972089223317,6980.74747198425,1,8.435125440667885,0,5,1,4.0,3
1,2023,central,0,0,18,33,56428.22502239922,-0.2375378591281849,3.889905813225299,1,1,6.584558156227686,4505.808273276135,0,7.500749007698718,5,4,4,4.0,1
1,2024,central,0,0,18,34,58574.65939731397,-0.2375378591281849,4.704545654915098,1,1,7.616834727853119,8078.679351719906,1,10.0,0,5,5,4.0,3
1,2025,central,0,0,18,35,61869.240704406315,-0.2375378591281849,2.9705584102301876,1,1,5.27447979840696,7520.660395254698,1,9.404941221377412,1,5,5,3.0,2
2,2018,north,0,0,16,35,59161.72255992251,0.3193682011017465,6.262688609198031,1,0,7.756424664127499,9234.487744831466,1,8.243572337234543,1,5,5,3.0,4
2,2019,north,0,0,16,36,58634.25478147005,0.3193682011017465,6.065037357973755,1,0,5.837091787795946,10690.367586929784,0,6.085670802955152,2,3,3,4.0,4
2,2020,north,0,0,16,37,59552.84979299699,0.3193682011017465,5.22201544332047,1,0,5.791504500373043,8212.095858463956,1,7.706010954213316,0,4,3,3.0,4
2,2021,north,0,0,16,38,50401.128330625965,0.3193682011017465,4.39150823968636,1,0,5.5389097837793,10702.741485397753,1,8.256310289597176,3,5,3,3.0,3
2,2022,north,0,0,16,39,59202.92354658746,0.3193682011017465,4.351783177773647,1,1,10.853266961594825,8865.330836974601,1,8.080597417996644,3,5,2,4.0,3
2,2023,north,0,0,16,40,51618.8457072882,0.3193682011017465,4.079514782917187,1,1,8.873420220636834,9812.342709405435,0,7.5602066321854835,5,4,2,5.0,2
2,2024,north,0,0,16,41,58727.8935304292,0.3193682011017465,4.023103562446707,1,1,9.20115514624073,5701.276331323512,1,7.996362160698785,2,4,2,4.0,4
2,2025,north,0,0,16,42,58704.42158602679,0.3193682011017465,6.478223494109916,1,1,9.054146975687127,14118.81718114203,1,7.9696985438889625,5,4,3,4.0,3
3,2018,south,0,0,15,24,49749.025791753265,0.252361935094842,3.9369595855950235,1,0,3.2850249056939376,5392.126041486245,0,8.157709630103346,1,5,2,2.0,3
3,2019,south,0,0,15,25,51438.482313062035,0.252361935094842,2.3050625552091693,1,0,4.7531932024966395,3034.3093927002374,1,6.854395103249802,1,4,4,4.0,2
3,2020,south,0,0,15,26,45479.89712464232,0.252361935094842,4.073625990965442,1,0,3.6283838046246637,7227.9106010514115,1,7.930065361832204,3,4,2,3.0,2
3,2021,south,0,0,15,27,64488.42408652322,0.252361935094842,2.779778913803454,1,0,4.705827878016731,4649.5763250243745,1,9.776272371326307,2,5,4,4.0,3
3,2022,south,0,0,15,28,56875.962027567184,0.252361935094842,5.666665756465045,1,1,6.832869266478434,9392.268578153367,0,7.383883830038251,3,4,4,4.0,4
3,2023,south,0,0,15,29,45985.019896250844,0.252361935094842,3.367123536635754,1,1,7.844283441990401,5549.163068696412,1,8.233434648779369,1,5,3,4.0,3
3,2024,south,0,0,15,30,46291.035757171594,0.252361935094842,6.338236417970462,1,1,5.073416266132445,7434.002098690047,1,7.920332841656513,2,4,3,3.0,2
3,2025,south,0,0,15,31,51505.59916349323,0.252361935094842,4.540693786891391,1,1,9.606056639798629,8404.477076437332,1,,1,4,4,1.0,4
4,2018,south,0,1,12,22,50443.73902977618,0.2575424595055508,2.1599949051702536,1,0,4.332340339169912,2840.6232477464805,1,8.798691480441335,1,5,3,3.0,3
4,2019,south,0,1,12,23,54507.6360575494,0.2575424595055508,4.338604278574622,1,0,5.25597892079394,4942.089652560574,0,7.875958168912829,2,4,2,3.0,2
4,2020,south,0,1,12,24,50687.02214460139,0.2575424595055508,4.005988629161085,1,0,5.570954630616426,6050.0089446128595,1,7.900121569330992,2,4,2,5.0,2
4,2021,south,0,1,12,25,28479.238447758413,0.2575424595055508,4.222422571546884,1,0,6.850366871105363,7677.091047933655,0,6.867262073611105,2,4,1,3.0,4
4,2022,south,0,1,12,26,45396.057592433484,0.2575424595055508,3.853143133749108,1,1,5.811153759475115,4406.396504267686,1,6.537953039329027,1,4,4,4.0,4
4,2023,south,0,1,12,27,48338.98941415947,0.2575424595055508,4.592606712471428,1,1,1.7163825610277161,8552.382795065867,1,7.700670629496331,1,4,2,2.0,3
4,2024,south,0,1,12,28,42036.87062790211,0.2575424595055508,2.6918314591406785,1,1,5.521747903582994,3653.1645593561957,1,9.472124936268514,1,5,3,3.0,3
4,2025,south,0,1,12,29,42076.1266527834,0.2575424595055508,2.9992927633370265,1,1,8.063415564287107,3271.23812853329,1,6.796964775160796,2,4,4,4.0,2
5,2018,east,1,0,18,23,51209.33840943856,-0.8259601708378957,5.083813219362896,1,0,1.886206168256998,3920.121311447732,1,7.531626966289375,2,4,3,3.0,2
5,2019,east,1,0,18,24,60845.876712264035,-0.8259601708378957,4.056102030224171,1,0,5.73936763896863,6319.571490276377,1,8.570138786465122,3,5,4,4.0,3
5,2020,east,1,0,18,25,55381.15245664962,-0.8259601708378957,4.263996855409603,1,0,1.808277866653364,6823.341499538395,1,8.568626530558712,2,5,3,4.0,3
5,2021,east,1,0,18,26,56485.09321644875,-0.8259601708378957,3.271328016453772,1,0,4.294786801747081,3946.8069300477982,0,9.384122714796538,2,5,4,4.0,4
5,2022,east,1,0,18,27,59214.70039045114,-0.8259601708378957,2.5278228001782357,1,1,6.404045296767578,3378.4053877496863,0,6.301007580396436,3,3,3,3.0,3
5,2023,east,1,0,18,28,49446.2859358377,-0.8259601708378957,4.150992531546761,1,1,5.2607790787815585,5321.575831964615,1,7.201725736663079,0,4,2,3.0,3
5,2024,east,1,0,18,29,64311.241670952455,-0.8259601708378957,3.358297857953816,1,1,7.8470774270428105,4134.036364100702,1,7.2085369887533695,1,4,2,4.0,3
5,2025,east,1,0,18,30,55698.082012566316,-0.8259601708378957,4.471167667875174,1,1,4.707689741891013,4737.8136825451575,1,8.674763142633793,1,5,2,3.0,1
6,2018,east,1,0,13,51,59157.11306932278,0.25625491356124425,3.4038952380188547,1,0,0.5232061835196651,4409.1139180566715,0,5.7570993878523895,1,3,5,2.0,3
6,2019,east,1,0,13,52,63792.161330978335,0.25625491356124425,2.4689468328803885,1,0,4.362936784847127,3598.01317759739,1,8.23506123049823,3,5,5,3.0,2
6,2020,east,1,0,13,53,58995.70536283336,0.25625491356124425,2.481107034286089,1,0,0.36073521901183647,4101.455698106137,1,8.71212108361113,2,5,5,5.0,4
6,2021,east,1,0,13,54,41058.56016814322,0.25625491356124425,1.420379141574858,1,0,1.6194033246309238,3349.2915650751006,1,7.4779670471209645,4,4,3,3.0,4
6,2022,east,1,0,13,55,62374.54664535948,0.25625491356124425,4.151790549811737,1,1,5.8334354694179895,6240.688204332864,0,8.948595034858542,4,5,2,4.0,3
6,2023,east,1,0,13,56,51763.33032996495,0.25625491356124425,4.984903540820579,1,1,3.8037365951665585,5186.850141072937,1,7.989166153626365,5,4,2,3.0,3
6,2024,east,1,0,13,57,59550.79999660306,0.25625491356124425,4.413296268517846,1,1,6.617868510525382,8080.686500573092,1,6.772078519582479,4,4,3,3.0,3
6,2025,east,1,0,13,58,54353.47264764347,0.25625491356124425,1.3784357576343336,1,1,5.922730676132051,3547.724782628289,0,7.876786789931094,3,4,2,3.0,3
7,2018,north,1,1,11,50,45748.123116355884,-1.1293183267394014,1.5813463916010084,1,0,3.841934256167892,5617.592287175944,1,8.251400609431851,3,5,5,,3
7,2019,north,1,1,11,51,47679.17531578456,-1.1293183267394014,2.6985167204733687,1,0,2.6646104551844534,3324.867323344749,0,8.50059364260876,1,5,3,4.0,2
7,2020,north,1,1,11,52,56305.73713485319,-1.1293183267394014,2.412875601511499,1,0,4.526641941786916,5180.9783946085845,0,6.619200180697714,4,4,2,3.0,4
7,2021,north,1,1,11,53,51674.83453942318,-1.1293183267394014,4.315207299233864,1,0,4.0182772222994485,4473.288840912117,1,9.455295589503182,4,5,4,3.0,2
7,2022,north,1,1,11,54,45388.93207643534,-1.1293183267394014,2.8728454713875706,1,1,7.23985776758899,5233.507281031944,1,7.269790330792394,4,4,2,4.0,2
7,2023,north,1,1,11,55,48865.20146935441,-1.1293183267394014,2.7964489127407046,1,1,8.62461502254457,4800.471673461907,1,5.421111734247652,4,3,3,,4
7,2024,north,1,1,11,56,59884.003071707164,-1.1293183267394014,2.981349393171619,1,1,5.809880792138085,6720.4386808139925,1,7.362718248680412,1,4,3,4.0,3
7,2025,north,1,1,11,57,63223.43177717319,-1.1293183267394014,0.6954086008632765,1,1,7.343567876190147,4557.30332236771,1,6.820163545554084,5,4,4,4.0,3
8,2018,east,0,0,13,44,57695.830931889046,1.133266527862163,4.734640925562437,1,0,5.402126858652733,6983.77550937697,1,9.136930671253324,1,5,4,4.0,3
8,2019,east,0,0,13,45,52007.62171742849,1.133266527862163,5.355803708755083,1,0,3.566324525967416,9046.635741236318,1,9.75021521909351,4,5,4,3.0,3
8,2020,east,0,0,13,46,52225.35798199676,1.133266527862163,4.275563548683038,1,0,5.202406941998852,5806.782593703051,1,7.292557316248433,4,4,5,3.0,1
8,2021,east,0,0,13,47,56784.06128797561,1.133266527862163,5.382842589904776,1,0,7.806626128672713,10293.7646806724,1,6.4815222416600875,1,3,5,2.0,4
8,2022,east,0,0,13,48,56163.976830139516,1.133266527862163,5.668858241598349,1,1,7.218866322922036,8497.621426811085,1,8.262836564903107,5,5,3,2.0,3
8,2023,east,0,0,13,49,57541.5475685335,1.133266527862163,3.0080466311593863,1,1,8.132741048224467,5655.209731624279,1,7.055443144221554,2,4,3,3.0,3
8,2024,east,0,0,13,50,41990.09150788169,1.133266527862163,2.5626759455412347,1,1,6.5443602188727485,6927.760535141051,1,7.07507186165289,1,4,3,3.0,4
8,2025,east,0,0,13,51,52790.39906854872,1.133266527862163,4.354611791555933,1,1,9.69111355894,5949.370828703946,1,7.8514125839593385,4,4,3,3.0,4
9,2018,north,0,0,15,35,46003.28022364472,0.5548980821780347,3.635052367958706,1,0,7.828437403211694,7793.4419623444,0,7.432093050201995,1,4,3,4.0,4
9,2019,north,0,0,15,36,54604.583767854805,0.5548980821780347,4.097937515309635,1,0,3.572341600344406,8219.119758248531,0,7.652710458362582,0,4,3,3.0,3
9,2020,north,0,0,15,37,46092.77000848601,0.5548980821780347,5.009002592737518,1,0,5.4079701593319305,11567.456365989248,0,7.671500083125033,4,4,2,4.0,3
9,2021,north,0,0,15,38,48739.02932068218,0.5548980821780347,6.870272828978121,1,0,4.683023403884115,9386.833973399502,0,7.399767067926377,1,4,3,4.0,4
9,2022,north,0,0,15,39,46290.85614344841,0.5548980821780347,3.65863229332933,1,1,8.689264307959293,5630.646179816036,0,8.422674766894522,4,5,3,3.0,3
9,2023,north,0,0,15,40,57085.10549014813,0.5548980821780347,3.6177446050312256,1,1,7.709029362445845,6953.961697025139,1,9.383611057557994,3,5,3,5.0,3
9,2024,north,0,0,15,41,60006.92037949522,0.5548980821780347,5.663804181818335,1,1,5.944563813796963,11650.846616375857,1,7.400470367681489,3,4,3,4.0,3
9,2025,north,0,0,15,42,62483.57669679918,0.5548980821780347,5.717620930474217,1,1,7.333599055404483,7221.961643432956,0,9.48542090787719,5,5,4,3.0,4
10,2018,west,1,0,16,48,69483.58739571668,0.9084946829664067,3.3837724289741624,1,0,3.4720393141113486,12637.879902331651,1,9.973438425143694,6,5,4,5.0,2
10,2019,west,1,0,16,49,50499.33180432457,0.9084946829664067,3.89032090913017,1,0,7.360774563361151,7344.187495979046,0,8.930542627875756,1,5,4,4.0,3
10,2020,west,1,0,16,50,62516.30777793033,0.9084946829664067,5.120132253547343,1,0,6.2455063920089655,10582.123738983697,1,8.284632210239376,6,5,2,3.0,2
10,2021,west,1,0,16,51,55628.438128669084,0.9084946829664067,4.328121442737962,1,0,5.821320567404183,9318.624880276673,0,8.906659054128216,4,5,2,4.0,5
10,2022,west,1,0,16,52,76524.95012141381,0.9084946829664067,4.5901839100927235,1,1,9.63719656806055,11060.005308192049,1,7.709364968452919,1,4,2,4.0,4
10,2023,west,1,0,16,53,58882.9352692924,0.9084946829664067,4.335138421523075,1,1,10.851654684932246,11608.266885173583,1,7.790976644067452,5,4,3,2.0,1
10,2024,west,1,0,16,54,68539.56482207535,0.9084946829664067,6.135889022146353,1,1,7.684053110010562,12689.791896971641,1,9.066768480197933,4,5,3,3.0,4
